,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19840316,2.8,1.85,1.2,4.42,2.76,1.68,2.79,-1,-2.17,0.182
19840323,-1.84,-0.76,-0.26,-2.56,-0.97,-1.71,-1.68,0.8,1.22,0.182
19840330,0.56,0.5,0.99,2.01,1.4,1.79,1.25,-1.05,0.11,0.182
19840406,-3.39,-1.74,-1.37,-3.13,-2.04,-1.45,-2.63,0.04,1.84,0.203
19840413,0.38,0.33,0.26,1.35,0.83,1.73,0.8,-0.98,0.13,0.203
19840419,0.43,0.61,0.33,0.62,0.49,-0.08,0.28,0.11,-0.39,0.203
19840427,1.12,0.61,0.65,1.47,1.01,1.32,0.97,-0.47,-0.31,0.203
19840504,1.94,1.47,0.96,0.4,-0.31,0.49,0.11,1.27,-0.44,0.195
19840511,-0.7,-0.39,-0.4,-0.49,0.37,-0.71,-0.46,-0.22,0.04,0.195
19840518,-2.29,-1.68,-1.57,-2.2,-1.71,-1.39,-2.12,-0.08,0.76,0.195
19840525,-4.11,-3.29,-2.9,-2.66,-2.43,-2.68,-2.96,-0.85,0.6,0.195
19840601,1.02,0.24,0.32,2.09,1.16,-0.07,0.95,-0.53,-1.42,0.188
19840608,2.11,1.71,1.1,1.81,1.31,0.36,1.25,0.48,-1.23,0.188
19840615,-1.87,-1.8,-1.4,-2.95,-3.77,-2.58,-3.3,1.41,0.42,0.188
19840622,2.88,1.08,0.65,4.94,2.82,3.24,3.01,-2.13,-1.97,0.188
19840629,-0.1,0.16,-0.1,-1.08,-0.49,0.36,-0.73,0.39,0.72,0.188
19840706,-1.08,-0.16,-0.56,-1.14,-0.5,-0.07,-0.78,-0.03,0.8,0.204
19840713,-1.35,-0.88,-0.51,-1.5,-1.06,-0.44,-1.11,0.09,0.96,0.204
19840720,-2.87,-1.03,-0.66,-1.57,-1.15,-0.19,-1.33,-0.55,1.79,0.204
19840727,-0.64,-0.78,-1.42,2.64,1.06,-0.58,0.62,-1.99,-2,0.204
19840803,9.56,5.15,4.14,10.18,7.71,4.41,7.19,-1.15,-5.6,0.207
19840810,3.13,2.68,1.73,1.64,2.01,3.8,2.07,0.03,0.38,0.207
19840817,-0.92,-0.15,0.46,-1.07,-0.74,-0.62,-0.9,0.6,0.92,0.207
19840824,1.62,1.38,2.1,1.61,2.26,2.31,1.71,-0.36,0.59,0.207
19840831,-0.1,0.7,0.62,-0.67,-0.41,0.1,-0.41,0.73,0.74,0.207
19840907,-1.02,-0.37,-0.13,-1.58,-1.24,-0.6,-1.25,0.63,0.94,0.214
19840914,1.4,1.81,1.23,2.6,2.49,2.88,2.24,-1.17,0.05,0.214
19840921,-1.73,0.37,0.79,-2.79,-1.11,-0.77,-1.55,1.36,2.27,0.214
19840928,-1.39,-0.38,0.37,-0.54,-0.52,1.74,-0.2,-0.69,2.02,0.214
19841005,-2.11,-1.25,-0.66,-2.81,-1.83,-1.41,-2.18,0.68,1.43,0.248
19841012,0.14,0.5,0.34,0.96,1.06,1.31,0.69,-0.78,0.28,0.248
19841019,1.93,1.42,1.62,4.43,2.5,-0.13,2.06,-0.61,-2.43,0.248
19841026,-1.84,-0.75,-1.05,-2.47,-1.44,-0.65,-1.79,0.31,1.31,0.248
19841102,-0.1,0.51,0.88,1.66,1.3,1.68,1.1,-1.12,0.5,0.183
19841109,0.16,1.03,1.05,-0.36,0.75,0.82,0.22,0.34,1.04,0.183
19841116,-2.16,-1.65,-1.41,-2.28,-2.29,-1.33,-2.09,0.23,0.86,0.183
19841123,-0.43,0.1,0.32,1.6,1.62,1.32,1.12,-1.51,0.24,0.183
19841130,-2.39,-0.51,-0.42,-1.99,-2.02,-1.05,-1.81,0.58,1.46,0.183
19841207,-1.92,-1.22,-0.75,-1.32,-0.66,-0.09,-0.99,-0.6,1.2,0.16
19841214,0.48,0.06,0.43,0.9,0.66,-0.3,0.25,-0.1,-0.63,0.16
19841221,1.94,1.87,1.37,2.65,1.61,1.64,1.8,-0.24,-0.79,0.16
19841228,0.73,0.38,0.94,0.18,0.57,0.44,0.29,0.29,0.23,0.16
19850104,0.42,0.32,-0.01,-1.62,-1.61,-1.2,-1.26,1.72,-0.01,0.161
19850111,2.89,1.99,2.42,3.35,2.84,2.09,2.46,-0.32,-0.87,0.161
19850118,5.02,3.17,2.73,2.42,2.08,2.03,2.26,1.46,-1.34,0.161
19850125,4.65,3.04,2.17,4.68,3.91,2.13,3.4,-0.29,-2.51,0.161
19850201,1.82,1.47,1.52,0.67,0.63,0.87,0.83,0.88,-0.05,0.144
19850208,4.23,2.9,2.43,2.6,2.36,2.32,2.42,0.76,-1.04,0.144
19850215,-0.04,0.8,0.55,-0.74,-0.1,0.1,-0.23,0.68,0.71,0.144
19850222,-1,-0.57,-0.51,-0.95,-1.07,-0.82,-1.08,0.25,0.31,0.144
19850301,1.16,0.56,0.22,2.4,2.16,1.78,1.63,-1.47,-0.78,0.154
19850308,-1.86,-0.57,-0.25,-3.27,-2.01,-0.97,-2.1,1.19,1.95,0.154
19850315,-2.33,-0.92,-0.35,-1.35,-1.75,-0.66,-1.38,0.06,1.34,0.154
19850322,-0.35,-0.74,0.19,1.36,1.4,0.86,0.81,-1.51,0.02,0.154
19850329,0.17,0.31,1.04,0.72,0.76,2.06,0.81,-0.68,1.11,0.154
19850404,-1.31,-0.34,0.11,-1,-0.86,-0.57,-0.96,0.3,0.93,0.179
19850412,0.63,0.86,0.9,0.57,0.8,1.28,0.76,-0.09,0.49,0.179
19850419,0.46,0.36,0.54,0.15,-0.09,1.08,0.19,0.07,0.5,0.179
19850426,-0.24,0,0.73,0.31,0.84,0.53,0.35,-0.39,0.59,0.179
19850503,-1.74,-1.16,-0.51,-2.01,-1.43,0.54,-1.31,-0.17,1.89,0.165
19850510,2.79,1.93,2.02,3.51,3.05,1.56,2.48,-0.46,-1.36,0.165
19850517,1.31,1.6,0.81,1.5,1.66,1.94,1.57,-0.46,-0.03,0.165
19850524,0.31,0.64,0.01,0.92,0.74,0.25,0.36,-0.32,-0.49,0.165
19850531,-0.09,0.17,0.37,0.23,1.38,0.38,0.45,-0.51,0.3,0.165
19850607,0.5,0.45,0.47,0.69,0.6,-0.27,0.31,0.13,-0.5,0.138
19850614,-1.99,-0.32,-0.15,-2.41,-1.28,0.12,-1.34,0.37,2.18,0.138
19850621,-0.07,0.8,0.85,0.99,1.25,1.09,0.89,-0.58,0.51,0.138
19850628,3.03,1.57,1.11,2.29,1.36,0.56,1.43,0.5,-1.82,0.138
19850705,0.79,1.69,1.02,0.4,0.5,0.68,0.45,0.64,0.25,0.156
19850712,0.93,0.98,1.21,0.59,-0.09,1.16,0.43,0.48,0.43,0.156
19850719,2.14,1.94,2.13,1.61,0.98,-0.36,0.92,1.32,-0.99,0.156
19850726,0.03,-0.88,-2.3,-1.68,-1.6,-2.13,-1.73,0.75,-1.39,0.156
19850802,-0.38,-0.01,-0.23,-0.03,-0.32,-0.76,-0.42,0.16,-0.29,0.137
19850809,-2.26,-1.63,-1.51,-1.74,-1.21,-0.84,-1.56,-0.54,0.83,0.137
19850816,-1.35,-0.74,-0.34,-1.42,-0.77,-0.54,-1.07,0.1,0.95,0.137
19850823,-0.02,0.64,0.57,0.26,0.52,0.98,0.36,-0.19,0.66,0.137
19850830,0.8,0.93,0.81,0.72,0.98,1.21,0.77,-0.12,0.25,0.137
19850906,-0.83,-0.27,-0.65,-0.07,-0.14,-0.45,-0.42,-0.36,-0.1,0.151
19850913,-3.87,-2.9,-2.82,-2.74,-2.49,-3.49,-3.05,-0.29,0.15,0.151
19850920,-1.12,-0.55,-0.19,-0.19,-0.48,-0.29,-0.56,-0.3,0.42,0.151
19850926,-1.63,-0.71,-0.63,-0.99,-0.16,-0.54,-0.83,-0.42,0.72,0.151
19851004,-0.32,0.93,1.1,-0.15,1.87,1.69,0.8,-0.57,1.64,0.162
19851011,0.18,0.4,0.46,1.08,0.73,0.43,0.52,-0.4,-0.19,0.162
19851018,2.6,1.28,0.71,1.98,1.66,1.2,1.52,-0.08,-1.33,0.162
19851025,0.02,0.54,0.05,0.14,-0.12,1.15,0.14,-0.19,0.52,0.162
19851101,1.14,1.14,1.44,1.99,2.53,1.83,1.87,-0.88,0.07,0.152
19851108,1.7,1.82,1.85,2.45,1.21,1.05,1.54,0.22,-0.63,0.152
19851115,2.3,2.11,1.72,2.55,2.09,2.14,2.08,-0.22,-0.49,0.152
19851122,2.07,1.68,1.63,1.93,2.07,0.92,1.59,0.15,-0.72,0.152
19851129,0.99,0.7,0.47,0.9,0.23,-0.01,0.34,0.34,-0.71,0.152
19851206,1.28,1.06,0.33,0.63,0.49,0.04,0.35,0.5,-0.78,0.162
19851213,2.61,1.86,2,5.13,2.8,2.35,3.19,-1.27,-1.7,0.162
19851220,-0.32,0.47,0.27,-0.2,0.28,1.41,0.11,-0.35,1.1,0.162
19851227,0.34,0.15,0.11,-0.3,-0.8,-0.47,-0.57,0.73,-0.2,0.162
19860103,1.39,1.21,1.48,0.03,0.88,1.26,0.59,0.64,0.66,0.139
19860110,-1.48,-1.7,-1.35,-2.5,-2.01,-1.51,-2.05,0.5,0.56,0.139
19860117,1.97,2.13,2.24,1.73,0.94,1.21,1.36,0.82,-0.12,0.139
19860124,-0.15,-0.58,-0.23,-0.61,-0.88,-0.99,-0.82,0.51,-0.23,0.139
19860131,1.47,1.03,0.95,2.68,2.39,2.69,2.26,-1.44,-0.26,0.139
19860207,1.85,1.62,0.52,2.69,1.51,0.19,1.51,-0.14,-1.92,0.132
19860214,2.41,1.8,1.63,1.75,3.13,3.12,2.31,-0.72,0.3,0.132
