,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,xrm
20091201,0.52,2.03,1.49,1.72,1.59,1.54,1.55,1.5,1.36,1.33,1.28
20091202,0.52,1.2,0.97,1.2,0.96,0.73,0.7,0.57,0.33,0.15,0.18
20091203,-0.53,-1.28,-1.47,-1.27,-0.95,-0.92,-1.02,-0.92,-1.15,-0.94,-0.86
20091204,1.04,2.97,2.53,2.22,2.16,1.56,1.01,1.07,0.76,0.36,0.7
20091207,0.48,0.48,0.28,0.54,0.03,-0.04,-0.08,0.24,0,-0.06,-0.15
20091208,-0.48,-1.15,-0.88,-0.98,-0.79,-0.58,-0.73,-0.88,-0.98,-1.09,-0.97
20091209,0.42,0.28,0.13,0.01,0.11,0.06,0,0.16,0.3,0.42,0.32
20091210,-0.58,-0.94,-0.57,-0.4,-0.04,0.36,0.6,0.88,0.81,0.66,0.5
20091211,0.5,0.83,1.11,0.93,0.78,0.6,0.65,0.72,0.56,0.31,0.43
20091214,0.6,1.51,1.63,1.54,1.32,1.21,1.4,1.51,1.43,0.85,0.8
20091215,-0.47,-1.07,-0.34,-0.23,-0.15,-0.07,-0.15,-0.38,-0.22,-0.44,-0.48
20091216,0.4,0.63,0.91,0.84,0.59,0.65,0.52,0.58,0.5,0.08,0.19
20091217,-0.96,-1.26,-1.26,-1.03,-1.13,-0.93,-1.22,-1.22,-0.97,-1.29,-1.18
20091218,0.35,0.97,1.24,1.13,0.83,0.82,0.37,0.66,0.43,0.58,0.68
20091221,1.21,1.28,1.24,1.32,1.56,1.38,1.26,1.22,1.09,0.98,1.03
20091222,0.7,0.8,1,0.9,0.86,0.76,0.79,0.76,0.59,0.24,0.43
20091223,0.75,1.25,1.31,1.06,0.77,0.68,0.62,0.64,0.58,0.34,0.36
20091224,0.57,0.36,0.44,0.46,0.52,0.52,0.49,0.58,0.59,0.44,0.51
20091228,-0.04,-0.02,0.11,0.02,-0.3,-0.22,-0.03,-0.09,-0.1,0.11,0.08
20091229,0.62,0.2,-0.02,0.14,-0.11,0.01,-0.15,-0.03,-0.23,-0.07,-0.09
20091230,0.22,0.49,-0.07,-0.19,-0.05,-0.14,-0.17,-0.12,0,0.08,0
20091231,0.67,-0.79,-1.14,-1.4,-1.08,-1.09,-1,-1.05,-1.1,-1,-0.99
20100104,1.86,2.58,2.82,2.61,2.13,1.79,1.72,1.66,1.62,1.62,1.69
20100105,-0.02,-0.85,-0.43,-0.15,0.6,0.5,0.22,0.51,0.4,0.32,0.31
20100106,0.29,-0.32,-0.18,0.11,0.31,0.61,0.48,0.76,0.28,0.29,0.13
20100107,1.36,1.14,0.76,0.91,0.39,0.47,0.63,0.35,0.36,0.38,0.4
20100108,1.25,0.88,0.51,0.37,0.41,0.47,0.54,0.26,0.34,0.42,0.33
20100111,0.69,0.17,0.04,-0.11,-0.22,-0.13,0.09,0.03,0.14,0.2,0.13
20100112,-0.62,-1.58,-1.27,-1.2,-1.35,-1.15,-1.24,-1.25,-1,-1.02,-1
20100113,0.96,1.41,1.1,1.14,1.19,1.11,1.17,1.06,1.03,0.76,0.85
20100114,0.79,0.81,0.69,0.39,0.19,0.31,0.1,0.14,0.24,0.01,0.24
20100115,-0.43,-1.59,-1.45,-1.2,-1.5,-1.32,-1.1,-1.37,-1.07,-0.91,-1.12
20100119,0.93,1.98,1.81,1.37,1.42,1.15,1.05,1.09,1.41,1.22,1.26
